date,zone,day_of_week,day_type,is_weekend,is_holiday,weather_condition,rainfall_mm,event_type,estimated_visitors,season,bin_availability,previous_waste_kg,waste_volume_kg
2024-01-01,Beachwalk Area,0,Public Holiday,0,1,Stormy,44.0,None,5218,Wet Season,28,424.9,1097.5
2024-01-01,Main Beach Gate,0,Public Holiday,0,1,Stormy,44.0,None,2407,Wet Season,9,540.1,782.6
2024-01-01,Food Vendor Area,0,Public Holiday,0,1,Stormy,44.0,Sports Event,6489,Wet Season,19,496.4,1391.8
2024-01-01,Parking Area,0,Public Holiday,0,1,Stormy,44.0,None,1965,Wet Season,17,469.7,527.5
2024-01-01,Hotel Front Area,0,Public Holiday,0,1,Stormy,44.0,None,1483,Wet Season,22,381.2,676.5
2024-01-01,Event Area,0,Public Holiday,0,1,Stormy,44.0,Sports Event,6734,Wet Season,12,381.2,1980.9
2024-01-01,Legian-side Beach Zone,0,Public Holiday,0,1,Stormy,44.0,Cultural Ceremony,4347,Wet Season,21,361.6,1166.4
2024-01-02,Beachwalk Area,1,Weekday,0,0,Cloudy,0.2,None,3066,Wet Season,14,1097.5,867.9
2024-01-02,Main Beach Gate,1,Weekday,0,0,Cloudy,0.2,None,834,Wet Season,21,782.6,557.7
2024-01-02,Food Vendor Area,1,Weekday,0,0,Cloudy,0.2,None,2211,Wet Season,9,1391.8,855.8
2024-01-02,Parking Area,1,Weekday,0,0,Cloudy,0.2,None,2300,Wet Season,25,527.5,480.8
2024-01-02,Hotel Front Area,1,Weekday,0,0,Cloudy,0.2,None,1795,Wet Season,21,676.5,557.4
2024-01-02,Event Area,1,Weekday,0,0,Cloudy,0.2,None,3199,Wet Season,15,1980.9,1187.7
2024-01-02,Legian-side Beach Zone,1,Weekday,0,0,Cloudy,0.2,None,1678,Wet Season,28,1166.4,668.5
2024-01-03,Beachwalk Area,2,Weekday,0,0,Stormy,44.3,None,2772,Wet Season,22,867.9,735.5
2024-01-03,Main Beach Gate,2,Weekday,0,0,Stormy,44.3,Beach Festival,4106,Wet Season,15,557.7,1080.3
2024-01-03,Food Vendor Area,2,Weekday,0,0,Stormy,44.3,None,1392,Wet Season,15,855.8,798.1
2024-01-03,Parking Area,2,Weekday,0,0,Stormy,44.3,None,2313,Wet Season,14,480.8,547.5
2024-01-03,Hotel Front Area,2,Weekday,0,0,Stormy,44.3,None,1000,Wet Season,15,557.4,530.2
2024-01-03,Event Area,2,Weekday,0,0,Stormy,44.3,Market Day,2628,Wet Season,29,1187.7,1381.2
2024-01-03,Legian-side Beach Zone,2,Weekday,0,0,Stormy,44.3,None,1412,Wet Season,22,668.5,598.4
2024-01-04,Beachwalk Area,3,Weekday,0,0,Rainy,16.2,None,2338,Wet Season,16,735.5,774.7
2024-01-04,Main Beach Gate,3,Weekday,0,0,Rainy,16.2,None,1691,Wet Season,20,1080.3,667.7
